Producto,Rating,Precio,Existencia,Enlaces
"Laptop Gamer Lenovo Legion 5 15IAH7H 15.6"" Full HD, Intel Core i5-12500H 3.30GHz, 8GB, 1TB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bits, Español, Gris",5,"$22,339.00",Disponibles:88pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Gamer-Lenovo-Legion-5-15IAH7H-15-6-Full-HD-Intel-Core-i5-12500H-3-30GHz-8GB-1TB-SSD-NVIDIA-GeForce-RTX-3060-Windows-11-Home-64-bits-Espanol-Gris.html
"Laptop Lenovo IdeaPad 5-14ALC05 14"" Full HD, AMD Ryzen 5 5500U 2.10GHz, 8GB, 256GB SSD, Windows 11 Home 64-bit, Español, Platino",5,"$9,549.00",Disponibles:78pzas.,https://www.cyberpuerta.mx/Opiniones-sobre-Laptop-Gamer-Lenovo-Legion-5-15IAH7H-15-6-Full-HD-Intel-Core-i5-12500H-3-30GHz-8GB-1TB-SSD-NVIDIA-GeForce-RTX-3060-Windows-11-Home-64-bits-Espanol-Gris/
"Laptop HP 245 G9 14"" HD, AMD Ryzen 3 5425U 2.70GHz, 8GB, 512GB SSD, Windows 11 Home 64-bit, Español, Negro",4,"$9,909.00",Disponibles:38pzas.,https://www.cyberpuerta.mx/Opiniones-sobre-Laptop-Gamer-Lenovo-Legion-5-15IAH7H-15-6-Full-HD-Intel-Core-i5-12500H-3-30GHz-8GB-1TB-SSD-NVIDIA-GeForce-RTX-3060-Windows-11-Home-64-bits-Espanol-Gris/
"Laptop Lenovo Thinkpad T14 Gen2 14"" Full HD, Intel Core i5-1135G7 2.40GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro",4,"$16,459.00",Disponibles:104pzas.,#
"Laptop HP 245 G9 14"" HD, AMD Ryzen 3 5425U 2.70GHz, 8GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Gris",4,"$12,409.00",Disponibles:22pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop HP 14-DQ0501LA 14"" HD, Intel Celeron N4120 1.10GHz, 4GB, 256GB SSD, Windows 11 Home 64-bit, Español, Negro",4,"$5,409.00","Disponibles:
¡1pza.!",#
"Laptop HP 245 G9 14"" HD, AMD Ryzen 5 5625U 2.30GHz, 8GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Plata",5,"$12,929.00",Disponibles:38pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-245-G9-14-HD-AMD-Ryzen-5-5625U-2-30GHz-8GB-512GB-SSD-Windows-11-Pro-64-bit-Espanol-Plata.html
"Laptop Lenovo ThinkPad T14 G2 14"" Full HD, Intel Core i7-1185G7 3GHz, 32GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Negro",5,"$31,109.00",Disponibles:43pzas.,#
"Laptop Lenovo V14 G2 ALC 14"" HD, AMD Ryzen 5 5500U 2.10GHz, 8GB, 256GB SSD, Windows 11 Pro 64-bit, Español, Gris",4,"$9,679.00",Disponibles:106pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop HP ZBook Power G9 15.6"" Full HD, Intel Core i7-12800H 2.40GHz, 32GB, 1TB SSD, Nvidia RTX A2000, Windows 11 Pro 64-bit, Español, Gris",4,"$54,779.00",Disponibles:12pzas.,#
"Laptop Lenovo ThinkPad E14 Gen2 14"" Full HD, Intel Core i7-1165G7 2.80GHz, 16GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Negro",5,"$23,039.00",Disponibles:20pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Lenovo-ThinkPad-E14-Gen2-14-Full-HD-Intel-Core-i7-1165G7-2-80GHz-16GB-512GB-SSD-Windows-10-Pro-64-bit-Espanol-Negro-cp2-1.html
"Laptop Gamer AORUS 5 SE4 15.6"" Full HD, Intel Core i7-12700H 3.50GHz, 16GB, 512GB SSD, NVIDIA GeForce 3070, Windows 11 Home 64-bit, Español, Negro",5,"$27,269.00",Disponibles:16pzas.,#
"Laptop Gamer Acer Nitro 5 AN515-46 15.6"" Full HD, AMD Ryzen 7 6800H 3.20GHz, 16GB, 512GB SSD, NVIDIA GeForce RTX 3070 Ti, Windows 11 Home 64-bit, Español, Negro",5,"$27,809.00",Disponibles:30pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Gamer-Acer-Nitro-5-AN515-46-15-6-Full-HD-AMD-Ryzen-7-6800H-3-20GHz-16GB-512GB-SSD-NVIDIA-GeForce-RTX-3070-Ti-Windows-11-Home-64-bit-Espanol-Negro.html
"Laptop Lenovo V15 Gen 3 15.6"" Full HD, AMD Ryzen 5 5625U 2.30GHz, 8GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Negro",5,"$9,169.00",Disponibles:25pzas.,#
"Laptop ASUS ZenBook Pro Duo UX8402VV 14.5"" WQXGA, Intel Core i9-13900H 4.10GHz, 32GB, 1TB SSD, Windows 11 Home 64-bit, Español, Negro ― Incluye Funda y Stylus Pen 2.0",5,"$68,239.00",Disponibles:4pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop Lenovo Yoga Slim 7 Pro 14IAP7 14"" Quad HD, Intel Core i5-1240P 1.70GHz, 8GB, 512GB SSD, Windows 11 Home 64-bit, Español, Gris",5,"$18,539.00",Disponibles:177pzas.,#
"Laptop HP 240 G8 14"" HD, Intel Core i5-1135G7 2.40GHz, 16GB, 500GB SSD, Windows 11 Pro 64-bit, Español, Negro ― Configuración Especial, 1 Año de Garantía",5,"$13,249.00",Disponibles:2pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/cp2-cp2-8.html
"Laptop Lenovo ThinkBook 14 G2 ITL 14"" Full HD, Intel Core i3-1115G4 3GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris",5,"$13,679.00",Disponibles:222pzas.,#
"Laptop Lenovo ThinkPad T14 Gen 2 14"" Full HD, AMD Ryzen 5 PRO 5650U 2.30GHz, 8GB, 512GB SSD, Windows 11 Pro 64-bit, Inglés, Negro",4,"$18,319.00",Disponibles:10pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop Lanix Neuron V V7 15.6"" Full HD, Intel Core i5-10210U 1.60GHz, 8GB, 512GB SSD, Windows 11 Pro, Español, Negro",4,"$14,859.00",Disponibles:5pzas.,#
"Laptop Dell Latitude 3540 15.6"" Full HD, Intel Core i5-1335U 1.30GHz, 8GB, 256GB SSD, Windows 11 Pro 64-bit, Español, Negro",4,"$19,919.00",Disponibles:480pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/cp2-cp2-3.html
"Laptop HP ProBook 440 G9 14"" Full HD, Intel Core i5-1235U 1.30GHz, 16GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Plata",4,"$19,689.00",Disponibles:184pzas.,#
"Laptop HP 240 G8 14"" HD, Intel Core i5-1135G7 2.40GHz, 8GB, 256GB SSD, Windows 11 Pro 64-bit, Español, Negro",4,"$13,419.00",Disponibles:956pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop HP 250 G8 15.6"" Full HD, Intel Core i5-1135G7 2.40GHz, 16GB, 256GB SSD, Windows 11 Pro 64-bit, Español, Gris",4,"$14,059.00",Disponibles:477pzas.,#
"Laptop Lenovo ThinkPad L14 G1 14"" HD, AMD Ryzen 3 4300U 2.70GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro",5,"$16,449.00",Disponibles:25pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Lenovo-ThinkPad-L14-G1-14-HD-AMD-Ryzen-3-4300U-2-70GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Negro.html
"Apple MacBook Air Retina Z124 13.3'', Apple M1, 16GB, 256GB SSD, Gris Espacial",5,"$24,439.00",Disponibles:12pzas.,https://www.cyberpuerta.mx/Opiniones-sobre-Laptop-Lenovo-ThinkPad-L14-G1-14-HD-AMD-Ryzen-3-4300U-2-70GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Negro/
"Laptop HP 245 G8 14"" HD, AMD Ryzen 5 5500U 2.10GHz, 8GB, 256GB SSD, Windows 10 Home 64-bit, Español, Negro",5,"$15,279.00",Disponibles:3pzas.,https://www.cyberpuerta.mx/Opiniones-sobre-Laptop-Lenovo-ThinkPad-L14-G1-14-HD-AMD-Ryzen-3-4300U-2-70GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Negro/
"Laptop Acer Aspire 3 A315-24P-R3XC 15.6"" Full HD, AMD Ryzen 5-7520U 2.80GHz, 16GB, 512GB SSD, Windows 11 Home 64-bit, Español, Plata",5,"$15,519.00",Disponibles:8pzas.,#
"Laptop Gamer Dell G5 15 5515 15.6"" Full HD, AMD Ryzen 7 5800H 3.20GHz, 16GB, 512GB SSD, NVIDIA GeForce RTX 3060 Windows 11 Home 64-bit, Español, Gris",5,"$33,439.00",Disponibles:21pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop Lanix Neuron X PRO 41539 14"" Full HD, Intel Core i3-1115G4 3GHz, 8GB, 512GB SSD, Windows 11 Home 64-bit, Español, Negro",5,"$11,679.00",Disponibles:3pzas.,#
"Laptop HP 245 G7 14"", AMD Ryzen 5 3500U 2.10GHz, 8GB, 1TB, Windows 10 Home 64-bit, Español, Negro",4,"$16,559.00","Disponibles:
¡1pza.!",https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-245-G7-14-AMD-Ryzen-5-3500U-2-10GHz-8GB-1TB-Windows-10-Home-64-bit-Espanol-Negro.html
"Laptop Lenovo ThinkPad E14 Gen2 14"" Full HD, AMD Ryzen 3 4300U 2.70GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro",4,"$14,049.00",Disponibles:38pzas.,https://www.cyberpuerta.mx/Opiniones-sobre-Laptop-HP-245-G7-14-AMD-Ryzen-5-3500U-2-10GHz-8GB-1TB-Windows-10-Home-64-bit-Espanol-Negro/
"Laptop Lenovo ThinkPad L15 Gen 3 15.6"" Full HD, Intel Core i5-1235U 3.30GHz, 16GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Negro",5,"$22,449.00",Disponibles:42pzas.,https://www.cyberpuerta.mx/Opiniones-sobre-Laptop-HP-245-G7-14-AMD-Ryzen-5-3500U-2-10GHz-8GB-1TB-Windows-10-Home-64-bit-Espanol-Negro/
"Laptop Dell Inspiron 13 5310 13.3"" Quad HD, Intel Core i7-11390H 2.90GHz, 8GB, 512GB SSD, Windows 11 Home 64-bit, Español, Plata",5,"$17,439.00",Disponibles:23pzas.,#
"Laptop Gamer Lenovo Legion 5 15.6"" Full HD, Intel Core i5-10300H 2.50GHz, 8GB, 1TB + 128GB SSD, NVIDIA GeForce GTX 1660 Ti, Windows 10 Home 64-bit, Español, Negro",4,"$21,559.00",Disponibles:3pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop HP 255 G8 15.6"" HD, AMD 3020e 1.20GHz, 4GB, 256GB SSD, Windows 10 Home 64-bit, Español, Negro",4,"$7,919.00",Disponibles:15pzas.,#
"Laptop ASUS F415EA 14"" Full HD, Intel Core i3-1115G4 3GHz, 4GB, 128GB SSD, Windows 11 Home 64-bit, Español, Gris",4,"$7,729.00",Disponibles:21pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-ASUS-F415EA-14-Full-HD-Intel-Core-i3-1115G4-3GHz-4GB-128GB-SSD-Windows-11-Home-64-bit-Espanol-Gris.html
"Laptop Lenovo ThinkPad T14 Gen 2 14"" Full HD, Intel Core i5-1135G7 2.40GHz, 16GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Negro",4,"$22,639.00",Disponibles:45pzas.,#
"Laptop Lenovo IdeaPad Slim 3 15IAN8 15.6"" Full HD, Intel Core i3-N305 1.80GHz, 8GB, 256GB SSD, Windows 11 Home 64-bit, Español, Azul Frío",4,"$9,109.00",Disponibles:43pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop ASUS Chromebook CX1 15.6"" HD, Intel Celeron N4500 1.10GHz, 8GB, 128GB eMMC, Chrome OS, Español, Plata",4,"$8,709.00",Disponibles:9pzas.,#
"Laptop Dell Latitude 5440 14"" Full HD, Intel Core i5-1335U 3.40GHz, 8GB, 256GB SSD, Windows 11 Pro 64-bit, Español, Gris",4,"$21,449.00",Disponibles:15pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Dell-Latitude-5440-14-Full-HD-Intel-Core-i5-1335U-3-40GHz-8GB-256GB-SSD-Windows-11-Pro-64-bit-Espanol-Gris.html
"Laptop ASUS VivoBook K1703ZA-WH34 17.3"" Full HD, Intel Core i3-1220P 1.10GHz, 8GB, 256GB SSD, Windows 11 Home 64-bit, Plata",4,"$9,159.00",Disponibles:27pzas.,#
"Laptop Lenovo IdeaPad 1 14IAU7 14"" HD, Intel Core i3-1215U 3.30GHz, 8GB, 128GB SSD, Windows 11 Home S, Inglés, Gris ― Configuración Especial, 1 Año de Garantía",4,"$7,509.00",Disponibles:24pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop Acer Aspire 3 A315-510P-38R 15.6"" Full HD, Intel Core i3-N305 1.80GHz, 8GB, 512GB SSD, Windows 11 Home 64-bit, Español, Azul",4,"$9,199.00",Disponibles:308pzas.,#
"Laptop HP ProBook 450 G9 15.6"" Full HD, Intel Core i5-1235U 1.80GHz, 16GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Plata",4,"$18,929.00",Disponibles:16pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-ProBook-450-G9-15-6-Full-HD-Intel-Core-i5-1235U-1-80GHz-16GB-512GB-SSD-Windows-11-Pro-64-bit-Espanol-Plata.html
"Laptop HP 15-DW3001CA 15.6"" HD, Intel Core i3-1115G4 3GHz, 8GB, 256GB SSD, Windows 10 Home 64-bit, Inglés, Gris",4,"$8,599.00",Disponibles:3pzas.,#
"Laptop Gamer Acer Nitro 5 15.6"" Full HD, Intel Core i5-10300H 2.50GHz, 8GB, 256GB SSD, NVIDIA GeForce RTX 3050, Windows 10 Home 64-bit,  Inglés, Negro",4,"$19,549.00",Disponibles:11pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop Lenovo ThinkBook 14 Gen 3 14"" Full HD, AMD Ryzen 5 5500U 2.10GHz, 16GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Gris",4,"$14,539.00",Disponibles:21pzas.,#
"Laptop Gamer Dell G5 5511 15.6"" Full HD, Intel Core i5-11260H 2.60GHz, 8GB, 512GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Home 64-bit, Español, Gris (2021) ― Garantía Limitada por 1 Año",4,"$17,799.00",Disponibles:21pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Gamer-Dell-G5-5511-15-6-Full-HD-Intel-Core-i5-11260H-2-60GHz-8GB-512GB-SSD-NVIDIA-GeForce-RTX-3050-Windows-11-Home-64-bit-Espanol-Gris-2021.html
"Workstation HP Power G9 15.6"" Full HD, Intel Core i9-12900HK 2.50GHz, 16GB, 1TB SSD, NVIDIA RTX A2000, Windows 11 Pro 64-bit, Español, Gris ― Incluye 3 Años de Garantía  (Partes, Mano de Obra, Atención en Sitio) + Active Care (Monitoreo Predictivo de",4,"$65,129.00","Disponibles:
¡1pza.!",#
"Laptop Dell Latitude 7430 14"" Full HD, Intel Core i7-1255U 3.50GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro (2022) ― Garantía Limitada por 1 Año",4,"$28,029.00","Disponibles:
¡1pza.!",https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop HP EliteBook 840 G10 14"" Full HD, Intel Core i7-1355U 3.70GHz, 16GB, 1TB SSD, Windows 11 Pro 64-bit, Español, Plata",4,"$28,759.00",Disponibles:54pzas.,#
"Laptop Dell Inspiron 3505 15.6"" HD, AMD Ryzen 7 3700U 2.30GHz, 8GB, 512GB SSD, Windows 10 Home 64-bit, Español, Plata ― Garantía Limitada por 1 Año",4,"$23,839.00",Disponibles:3pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Dell-Inspiron-3505-15-6-HD-AMD-Ryzen-7-3700U-2-30GHz-8GB-512GB-SSD-Windows-10-Home-64-bit-Espanol-Plata.html
"Laptop Dell Latitude 3410 14"" Full HD, Intel Core i5-10210U 1.60GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro ― Garantía Limitada por 1 Año",4,"$19,999.00",Disponibles:3pzas.,#
"Laptop Dell Precision Móvil 7560 15.6"" Full HD, Intel Core i7-11850H 2.30GHz, 32GB, 512GB SSD, NVIDIA Quadro T1000, Windows 10 Pro 64-bit, Español, Gris (2021) ― Garantía Limitada por 1 Año",4,"$51,199.00",Disponibles:6pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop Dell Latitude 7430 14"" Full HD, Intel Core i7-1255U 3.50GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Inglés, Negro ― Garantía Limitada por 1 Año",4,"$33,439.00",Disponibles:5pzas.,#
"Laptop ASUS Chromebook C204EE 11.6"" HD, Intel Celeron N4020 1.10GHz, 4GB, 32GB eMMC, Chrome OS, Español, Gris",4,"$7,079.00","Disponibles:
¡1pza.!",https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-ASUS-Chromebook-C204EE-11-6-HD-Intel-Celeron-N4020-1-10GHz-4GB-32GB-eMMC-Chrome-OS-Espanol-Gris.html
"Laptop Gamer Lenovo IdeaPad Gaming 3 15ACH6 15.6"" Full HD, AMD Ryzen 5 5600H 3.30GHz, 16GB, 1TB + 256GB SSD, NVIDIA GeForce RTX 3050 Ti, Windows 11 Home 64-bit, Inglés, Negro ― Configuración Especial, 1 Año de Garantía",4,"$19,749.00",Disponibles:24pzas.,https://www.cyberpuerta.mx/Opiniones-sobre-Laptop-ASUS-Chromebook-C204EE-11-6-HD-Intel-Celeron-N4020-1-10GHz-4GB-32GB-eMMC-Chrome-OS-Espanol-Gris/
"Laptop Lenovo ThinkPad X13 G3 13.3"" WUXGA, Intel Core i7-1260P 3.40GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Negro",4,"$27,429.00",Disponibles:2pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Lenovo-ThinkPad-X13-G3-13-3-WUXGA-Intel-Core-i7-1260P-3-40GHz-16GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Negro.html
"Laptop Dell Latitude 3520 15,6"" HD, Intel Core i5-1135G7 2.40GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris",4,"$19,139.00",Disponibles:67pzas.,#
"Laptop Lenovo ThinkPad T14 Gen 2 14"" Full HD, Intel Core i5-1135G7 2.40GHz, 16GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Negro",4,"$22,859.00",Disponibles:33pzas.,https://www.cyberpuerta.mx/lista-de-comparacion/?cnid=4fe38c01729fc
"Laptop HP 240 G8 79L97LT 14"" HD, Intel Core i5-1135G7 2.40GHz, 8GB, 256GB SSD, Windows 11 Home 64-bit, Español, Negro",4,"$9,189.00",Disponibles:137pzas.,#
"Laptop HP 245 G9 14"" HD, AMD Ryzen 5 5625U 2.30GHz, 8GB, 512GB SSD, Windows 11 Home 64-bit, Español, Plata",3,"$11,349.00","Disponibles:
¡1pza.!",https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-245-G9-14-HD-AMD-Ryzen-5-5625U-2-30GHz-8GB-512GB-SSD-Windows-11-Home-64-bit-Espanol-Plata.html
"Laptop Dell Latitude 5430 14” Full HD, Intel Core i5-1235U 3.30GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris (2022) ― Garantía Limitada por 1 Año",3,"$27,149.00",Disponibles:40pzas.,#
"Laptop HP EliteBook 845 G9 14"" Full HD, AMD Ryzen 7 PRO 6850U 2.70GHz, 8GB, 512GB SSD, Windows 11 Pro 64-bit, Español, Plata",3,"$25,859.00",Disponibles:2pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-EliteBook-845-G9-14-Full-HD-AMD-Ryzen-7-PRO-6850U-2-70GHz-8GB-512GB-SSD-Windows-11-Pro-64-bit-Espanol-Plata.html
"Apple MacBook Pro Retina MNEQ3E/A 13”, Apple M2, 8GB, 512GB SSD, Plata (Julio 2022)",3,"$32,469.00",Disponibles:32pzas.,#
"Laptop HP ProBook 640 G8 14"" HD, Intel Core i5-1145G7 2.60GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Plata",3,"$22,029.00",Disponibles:48pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-HP-ProBook-640-G8-14-HD-Intel-Core-i5-1145G7-2-60GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Plata.html
"Laptop Lenovo ThinkPad L14 G1 14"" HD, AMD Ryzen 3 4300U 2.70GHz, 8GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Negro",3,"$20,929.00",Disponibles:8pzas.,#
"Laptop Lenovo V14-ITL G2 14"" HD, Intel Core i7-1165G7 2.80GHz, 16GB, 512GB SSD, Windows 10 Pro 64-bit, Español, Gris",3,"$21,049.00",Disponibles:12pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Lenovo-V14-ITL-G2-14-HD-Intel-Core-i7-1165G7-2-80GHz-16GB-512GB-SSD-Windows-10-Pro-64-bit-Espanol-Gris.html
"Laptop Lenovo IdeaPad 3 15ITL05 15.6"" HD, Intel Core i3-1115G4 3GHz, 8GB, 256GB SSD, Windows 10 Home, Inglés, Arena",3,"$9,089.00",Disponibles:6pzas.,#
"Laptop Dell Latitude 5420 14"" Full HD, Intel Core i7-1165G7 2.80GHz, 8GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris",3,"$25,329.00",Disponibles:46pzas.,https://www.cyberpuerta.mx/Computadoras/Laptops/Laptop-Dell-Latitude-5420-14-Full-HD-Intel-Core-i7-1165G7-2-80GHz-8GB-256GB-SSD-Windows-10-Pro-64-bit-Espanol-Gris-cp2-1.html
